date  login1 login2 login3 login4 login5
Aug09 88 42 30 65 74
Aug10 148 65 42 137 124
Aug11 158 80 67 137 113
Aug12 168 66 56 136 137
Aug13 119 93 45 145 148
Aug14 -1 61 62 127 134
Aug15 -1 34 29 80 94
Aug16 -1 36 22 65 76
Aug17 -1 55 72 124 153
Aug18 -1 72 70 139 146
Aug19 -1 64 94 159 162
Aug20 -1 53 60 136 170
Aug21 -1 37 68 127 131
Aug22 -1 23 31 80 85
Aug23 -1 20 27 89 81
Aug24 132 19 82 105 133
Aug25 164 24 90 123 164
Aug26 160 33 86 126 175
Aug27 165 55 107 107 153
Aug28 152 54 103 85 143
Aug29 93 45 64 53 88
Aug30 82 39 68 48 78
Aug31 151 130 55 49 133
Sep01 152 154 61 66 149
Sep02 153 157 47 45 160
Sep03 161 152 46 35 144
Sep04 141 141 61 40 131
Sep05 81 68 29 35 87
Sep06 72 66 26 37 75
Sep07 101 83 34 31 100
Sep08 139 140 70 48 126
Sep09 172 152 86 47 139
Sep10 163 164 77 47 139
Sep11 161 164 69 45 155
Sep12 99 103 39 36 107
Sep13 104 95 37 32 95
Sep14 167 169 45 38 153
Sep15 123 124 59 82 111
Sep16 116 122 109 129 123
Sep17 118 120 108 127 150
Sep18 111 114 120 145 116
Sep19 63 70 71 82 53
Sep20 60 70 78 83 64
Sep21 127 123 136 124 117
Sep22 117 141 111 157 132
Sep23 126 142 101 136 156
Sep24 98 160 102 164 131
Sep25 119 139 118 162 94
Sep26 85 81 58 88 64
Sep27 56 73 54 82 61
Sep28 123 160 102 149 129
Sep29 91 151 138 167 117
Sep30 107 139 155 164 117
